ProxyAddress,implementations,version,Proxy-Type,Creation Timestamp,Creation Date,Last Transaction Timestamp,Last Transaction Date,Total Transactions,Age,Active,Human Readable Age
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xfab028e2a413e136f4537a691f389ceebd75bb18,12,EIP_1967_LOGIC_SLOT.csv,1614040751,2/23/21 0:39,1614040751,2/23/21 0:39,1,189774,FALSE,2.0 days 282.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xa3a5d08535d2ae5ea9dc202bd8cdde3f9f3aec64,13,EIP_1967_LOGIC_SLOT.csv,1614230525,2/25/21 5:22,1614230525,2/25/21 5:22,1,919995,FALSE,10.0 days 933.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xf6b44397c8756ed95ff138554e5d6349c62bf885,14,EIP_1967_LOGIC_SLOT.csv,1615150520,3/7/21 20:55,1615150520,3/7/21 20:55,1,412445,FALSE,4.0 days 1114.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xcc6a1a30b6df40153434b9754518ae85f4d1b440,15,EIP_1967_LOGIC_SLOT.csv,1615562965,3/12/21 15:29,1615562965,3/12/21 15:29,1,1400569,FALSE,16.0 days 302.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x6b174478eb83ea35f70eca716b91bebd37c13154,16,EIP_1967_LOGIC_SLOT.csv,1616963534,3/28/21 20:32,1616963534,3/28/21 20:32,1,5407,FALSE,90.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x6be387f2f1c6d674fd62f7d4619395cc6aacfe32,17,EIP_1967_LOGIC_SLOT.csv,1616968941,3/28/21 22:02,1616968941,3/28/21 22:02,1,1015079,FALSE,11.0 days 1077.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xd4c39159587621ba7b05237b52d5874be1693725,18,EIP_1967_LOGIC_SLOT.csv,1617984020,4/9/21 16:00,1617984020,4/9/21 16:00,1,-1015079,TRUE,362.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x6be387f2f1c6d674fd62f7d4619395cc6aacfe32,19,EIP_1967_LOGIC_SLOT.csv,1616968941,3/28/21 22:02,1616968941,3/28/21 22:02,1,6463777,FALSE,74.0 days 1169.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x9dcfbf205d734c0cb3a2450bb7c0b261cca4e73e,20,EIP_1967_LOGIC_SLOT.csv,1623432718,6/11/21 17:31,1623432718,6/11/21 17:31,1,4421454,FALSE,51.0 days 250.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x9f679dda2a601977a3fec42598092e4e0a2c2099,21,EIP_1967_LOGIC_SLOT.csv,1627854172,8/1/21 21:42,1627854172,8/1/21 21:42,1,1205080,FALSE,13.0 days 1364.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x31aa3e21067d94d94a384c0b25d17d3181a19c6e,22,EIP_1967_LOGIC_SLOT.csv,1629059252,8/15/21 20:27,1629059252,8/15/21 20:27,1,1335883,FALSE,15.0 days 664.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x9760d95e44e674df922c3bdd4dc4a8fbd69e800e,23,EIP_1967_LOGIC_SLOT.csv,1630395135,8/31/21 7:32,1630395135,8/31/21 7:32,1,2200546,FALSE,25.0 days 675.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xe61546373adf66188336f0c1da9e02581d4c84d8,24,EIP_1967_LOGIC_SLOT.csv,1632595681,9/25/21 18:48,1632595681,9/25/21 18:48,1,-24361894,TRUE,48.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x6f66f6178f03ee8a280220068310c98047320f05,25,EIP_1967_LOGIC_SLOT.csv,1608233787,12/17/20 19:36,1608233787,12/17/20 19:36,1,180077,FALSE,2.0 days 121.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xb17bdcafd7f37100144c90aea3da609f23f7c874,26,EIP_1967_LOGIC_SLOT.csv,1608413864,12/19/20 21:37,1608413864,12/19/20 21:37,1,683604,FALSE,7.0 days 1313.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x6aef2dbc74298359f90b66ebfe8034899b9d6fef,27,EIP_1967_LOGIC_SLOT.csv,1609097468,12/27/20 19:31,1609097468,12/27/20 19:31,1,83526,FALSE,1392.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xaf5c23a6462b68573e0600aa3f7d64a7d0fb10c6,28,EIP_1967_LOGIC_SLOT.csv,1609180994,12/28/20 18:43,1609180994,12/28/20 18:43,1,1305535,FALSE,15.0 days 158.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x84f64111af018ebc7dd51ca3381def6c8936337a,29,EIP_1967_LOGIC_SLOT.csv,1610486529,1/12/21 21:22,1610486529,1/12/21 21:22,1,2329596,FALSE,26.0 days 1386.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x0d2ed8a82064331f42e2b4650b2d742526aa125f,30,EIP_1967_LOGIC_SLOT.csv,1612816125,2/8/21 20:28,1612816125,2/8/21 20:28,1,65519,FALSE,1091.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xa1951ce0e532cfc95e7440edf21257f3b8f5a40c,31,EIP_1967_LOGIC_SLOT.csv,1612881644,2/9/21 14:40,1612881644,2/9/21 14:40,1,15896,FALSE,264.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xbd2e6383069e299a52f00abf7c6839a15621ae8c,32,EIP_1967_LOGIC_SLOT.csv,1612897540,2/9/21 19:05,1612897540,2/9/21 19:05,1,521233,FALSE,6.0 days 47.0 minutes
