Proxy Address,Proxy Type,Year,Event Name,Event Parameters
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,NewComptroller,"oldComptroller: address, newComptroller: address"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,NewImplementation,"oldImplementation: address, newImplementation: address"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,NewMarketInterestRateModel,"oldInterestRateModel: address, newInterestRateModel: address"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,NewPendingAdmin,"oldPendingAdmin: address, newPendingAdmin: address"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,NewReserveFactor,"oldReserveFactorMantissa: uint256, newReserveFactorMantissa: uint256"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,Redeem,"redeemer: address, redeemAmount: uint256, redeemTokens: uint256"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,RepayBorrow,"payer: address, borrower: address, repayAmount: uint256, accountBorrows: uint256, totalBorrows: uint256"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,ReservesAdded,"benefactor: address, addAmount: uint256, newTotalReserves: uint256"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,ReservesReduced,"admin: address, reduceAmount: uint256, newTotalReserves: uint256"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,Transfer,"from: address, to: address, amount: uint256"
0xc7319dbc86a121313bc48b7c54d0672756465031,Other Upgradeable Proxy Contract,2022,AccrueInterest,"cashPrior: uint256, interestAccumulated: uint256, borrowIndex: uint256, totalBorrows: uint256"
